filename,area_pixels,mean,intden
U_phi_000169.tif,65536,23.828430,1561620.000000
U_phi_000170.tif,65536,23.902359,1566465.000000
U_phi_000171.tif,65536,23.622208,1548105.000000
U_phi_000172.tif,65536,23.879013,1564935.000000
U_phi_000173.tif,65536,23.719482,1554480.000000
U_phi_000174.tif,65536,23.789520,1559070.000000
U_phi_000175.tif,65536,23.688354,1552440.000000
U_phi_000176.tif,65536,23.991852,1572330.000000
U_phi_000177.tif,65536,23.910141,1566975.000000
U_phi_000178.tif,65536,24.373169,1597320.000000
U_phi_000179.tif,65536,23.820648,1561110.000000
U_phi_000180.tif,65536,23.824539,1561365.000000
U_phi_000181.tif,65536,24.073563,1577685.000000
U_phi_000182.tif,65536,24.272003,1590690.000000
U_phi_000183.tif,65536,24.178619,1584570.000000
U_phi_000184.tif,65536,23.591080,1546065.000000
U_phi_000185.tif,65536,23.914032,1567230.000000
U_phi_000186.tif,65536,23.556061,1543770.000000
U_phi_000187.tif,65536,24.345932,1595535.000000
U_phi_000188.tif,65536,23.910141,1566975.000000
U_phi_000189.tif,65536,24.244766,1588905.000000
U_phi_000190.tif,65536,23.840103,1562385.000000
U_phi_000191.tif,65536,23.960724,1570290.000000
U_phi_000192.tif,65536,24.069672,1577430.000000
U_phi_000193.tif,65536,24.198074,1585845.000000
U_phi_000194.tif,65536,24.007416,1573350.000000
U_phi_000195.tif,65536,24.135818,1581765.000000
U_phi_000196.tif,65536,23.875122,1564680.000000
U_phi_000197.tif,65536,23.917923,1567485.000000
U_phi_000198.tif,65536,24.447098,1602165.000000
U_phi_000199.tif,65536,24.003525,1573095.000000
U_phi_000200.tif,65536,24.081345,1578195.000000
U_phi_000201.tif,65536,23.735046,1555500.000000
U_phi_000202.tif,65536,23.882904,1565190.000000
U_phi_000203.tif,65536,23.773956,1558050.000000
U_phi_000204.tif,65536,24.283676,1591455.000000
U_phi_000205.tif,65536,23.633881,1548870.000000
U_phi_000206.tif,65536,24.128036,1581255.000000
U_phi_000207.tif,65536,23.509369,1540710.000000
U_phi_000208.tif,65536,24.100800,1579470.000000
U_phi_000209.tif,65536,24.128036,1581255.000000
U_phi_000210.tif,65536,24.396515,1598850.000000
U_phi_000211.tif,65536,23.921814,1567740.000000
U_phi_000212.tif,65536,23.906250,1566720.000000
U_phi_000213.tif,65536,23.738937,1555755.000000
U_phi_000214.tif,65536,23.976288,1571310.000000
U_phi_000215.tif,65536,24.135818,1581765.000000
U_phi_000216.tif,65536,23.462677,1537650.000000
U_phi_000217.tif,65536,23.836212,1562130.000000
U_phi_000218.tif,65536,23.174744,1518780.000000
U_phi_000219.tif,65536,24.186401,1585080.000000
U_phi_000220.tif,65536,23.851776,1563150.000000
U_phi_000221.tif,65536,23.898468,1566210.000000
U_phi_000222.tif,65536,23.715591,1554225.000000
U_phi_000223.tif,65536,23.680573,1551930.000000
U_phi_000224.tif,65536,23.956833,1570035.000000
U_phi_000225.tif,65536,23.661118,1550655.000000
U_phi_000226.tif,65536,23.820648,1561110.000000
U_phi_000227.tif,65536,24.252548,1589415.000000
U_phi_000228.tif,65536,23.567734,1544535.000000
U_phi_000229.tif,65536,24.198074,1585845.000000
U_phi_000230.tif,65536,24.073563,1577685.000000
U_phi_000231.tif,65536,24.404297,1599360.000000
U_phi_000232.tif,65536,24.030762,1574880.000000
U_phi_000233.tif,65536,23.501587,1540200.000000
U_phi_000234.tif,65536,24.003525,1573095.000000
U_phi_000235.tif,65536,24.194183,1585590.000000
U_phi_000236.tif,65536,23.789520,1559070.000000
U_phi_000237.tif,65536,24.279785,1591200.000000
U_phi_000238.tif,65536,23.754501,1556775.000000
U_phi_000239.tif,65536,23.373184,1531785.000000
U_phi_000240.tif,65536,24.089127,1578705.000000
U_phi_000241.tif,65536,23.812866,1560600.000000
U_phi_000242.tif,65536,23.676682,1551675.000000
U_phi_000243.tif,65536,23.843994,1562640.000000
U_phi_000244.tif,65536,23.668900,1551165.000000
U_phi_000245.tif,65536,23.742828,1556010.000000
U_phi_000246.tif,65536,23.696136,1552950.000000
U_phi_000247.tif,65536,24.330368,1594515.000000
U_phi_000248.tif,65536,23.902359,1566465.000000
U_phi_000249.tif,65536,23.972397,1571055.000000
U_phi_000250.tif,65536,23.987961,1572075.000000
U_phi_000251.tif,65536,24.388733,1598340.000000
U_phi_000252.tif,65536,24.342041,1595280.000000
U_phi_000253.tif,65536,23.808975,1560345.000000
U_phi_000254.tif,65536,24.131927,1581510.000000
U_phi_000255.tif,65536,23.964615,1570545.000000
U_phi_000256.tif,65536,23.777847,1558305.000000
U_phi_000257.tif,65536,23.960724,1570290.000000
U_phi_000258.tif,65536,23.493805,1539690.000000
U_phi_000259.tif,65536,24.209747,1586610.000000
U_phi_000260.tif,65536,23.777847,1558305.000000
U_phi_000261.tif,65536,23.945160,1569270.000000
U_phi_000262.tif,65536,23.186417,1519545.000000
U_phi_000263.tif,65536,23.987961,1572075.000000
U_phi_000264.tif,65536,23.742828,1556010.000000
U_phi_000265.tif,65536,23.750610,1556520.000000
U_phi_000266.tif,65536,23.750610,1556520.000000
U_phi_000267.tif,65536,24.131927,1581510.000000
U_phi_000268.tif,65536,24.022980,1574370.000000
U_phi_000269.tif,65536,23.400421,1533570.000000
U_phi_000270.tif,65536,24.303131,1592730.000000
U_phi_000271.tif,65536,23.594971,1546320.000000
U_phi_000272.tif,65536,24.003525,1573095.000000
U_phi_000273.tif,65536,23.645554,1549635.000000
U_phi_000274.tif,65536,23.731155,1555245.000000
U_phi_000275.tif,65536,23.808975,1560345.000000
U_phi_000276.tif,65536,24.369278,1597065.000000
U_phi_000277.tif,65536,23.661118,1550655.000000
U_phi_000278.tif,65536,24.221420,1587375.000000
U_phi_000279.tif,65536,24.279785,1591200.000000
U_phi_000280.tif,65536,24.248657,1589160.000000
U_phi_000281.tif,65536,23.960724,1570290.000000
U_phi_000282.tif,65536,23.828430,1561620.000000
U_phi_000283.tif,65536,23.894577,1565955.000000
U_phi_000284.tif,65536,23.836212,1562130.000000
U_phi_000285.tif,65536,23.984070,1571820.000000
U_phi_000286.tif,65536,23.738937,1555755.000000
U_phi_000287.tif,65536,24.583282,1611090.000000
U_phi_000288.tif,65536,23.929596,1568250.000000
U_phi_000289.tif,65536,24.201965,1586100.000000
U_phi_000290.tif,65536,23.466568,1537905.000000
U_phi_000291.tif,65536,24.388733,1598340.000000
U_phi_000292.tif,65536,23.470459,1538160.000000
U_phi_000293.tif,65536,23.688354,1552440.000000
U_phi_000294.tif,65536,23.805084,1560090.000000
U_phi_000295.tif,65536,23.427658,1535355.000000
U_phi_000296.tif,65536,23.925705,1567995.000000
U_phi_000297.tif,65536,24.692230,1618230.000000
U_phi_000298.tif,65536,23.272018,1525155.000000
U_phi_000299.tif,65536,23.816757,1560855.000000
U_phi_000300.tif,65536,24.528809,1607520.000000
U_phi_000301.tif,65536,24.159164,1583295.000000
U_phi_000302.tif,65536,24.532700,1607775.000000
U_phi_000303.tif,65536,24.264221,1590180.000000
U_phi_000304.tif,65536,24.291458,1591965.000000
U_phi_000305.tif,65536,23.941269,1569015.000000
U_phi_000306.tif,65536,23.995743,1572585.000000
U_phi_000307.tif,65536,23.906250,1566720.000000
U_phi_000308.tif,65536,24.661102,1616190.000000
U_phi_000309.tif,65536,23.910141,1566975.000000
U_phi_000310.tif,65536,23.894577,1565955.000000
U_phi_000311.tif,65536,23.380966,1532295.000000
U_phi_000312.tif,65536,23.703918,1553460.000000
U_phi_000313.tif,65536,24.050217,1576155.000000
U_phi_000314.tif,65536,24.252548,1589415.000000
U_phi_000315.tif,65536,23.742828,1556010.000000
U_phi_000316.tif,65536,24.287567,1591710.000000
U_phi_000317.tif,65536,23.828430,1561620.000000
U_phi_000318.tif,65536,23.851776,1563150.000000
U_phi_000319.tif,65536,24.166946,1583805.000000
U_phi_000320.tif,65536,23.914032,1567230.000000
U_phi_000321.tif,65536,23.995743,1572585.000000
U_phi_000322.tif,65536,23.960724,1570290.000000
U_phi_000323.tif,65536,23.610535,1547340.000000
U_phi_000324.tif,65536,24.291458,1591965.000000
U_phi_000325.tif,65536,24.015198,1573860.000000
U_phi_000326.tif,65536,24.272003,1590690.000000
U_phi_000327.tif,65536,23.801193,1559835.000000
U_phi_000328.tif,65536,23.423767,1535100.000000
U_phi_000329.tif,65536,24.342041,1595280.000000
U_phi_000330.tif,65536,23.591080,1546065.000000
U_phi_000331.tif,65536,24.275894,1590945.000000
U_phi_000332.tif,65536,23.657227,1550400.000000
U_phi_000333.tif,65536,23.832321,1561875.000000
U_phi_000334.tif,65536,23.832321,1561875.000000
U_phi_000335.tif,65536,23.735046,1555500.000000
U_phi_000336.tif,65536,24.135818,1581765.000000
U_phi_000337.tif,65536,23.622208,1548105.000000
U_phi_000338.tif,65536,24.104691,1579725.000000
U_phi_000339.tif,65536,23.731155,1555245.000000
U_phi_000340.tif,65536,24.345932,1595535.000000
U_phi_000341.tif,65536,23.665009,1550910.000000
U_phi_000342.tif,65536,24.353714,1596045.000000
U_phi_000343.tif,65536,23.785629,1558815.000000
U_phi_000344.tif,65536,24.435425,1601400.000000
U_phi_000345.tif,65536,24.256439,1589670.000000
U_phi_000346.tif,65536,24.256439,1589670.000000
U_phi_000347.tif,65536,23.166962,1518270.000000
U_phi_000348.tif,65536,24.077454,1577940.000000
U_phi_000349.tif,65536,24.268112,1590435.000000
U_phi_000350.tif,65536,23.777847,1558305.000000
U_phi_000351.tif,65536,23.941269,1569015.000000
U_phi_000352.tif,65536,23.968506,1570800.000000
U_phi_000353.tif,65536,23.750610,1556520.000000
U_phi_000354.tif,65536,24.112473,1580235.000000
U_phi_000355.tif,65536,23.283691,1525920.000000
U_phi_000356.tif,65536,23.785629,1558815.000000
U_phi_000357.tif,65536,24.486008,1604715.000000
U_phi_000358.tif,65536,24.404297,1599360.000000
U_phi_000359.tif,65536,23.731155,1555245.000000
U_phi_000360.tif,65536,23.762283,1557285.000000
U_phi_000361.tif,65536,23.925705,1567995.000000
U_phi_000362.tif,65536,24.384842,1598085.000000
U_phi_000363.tif,65536,23.723373,1554735.000000
U_phi_000364.tif,65536,24.128036,1581255.000000
U_phi_000365.tif,65536,24.147491,1582530.000000
U_phi_000366.tif,65536,23.812866,1560600.000000
U_phi_000367.tif,65536,24.093018,1578960.000000
U_phi_000368.tif,65536,24.151382,1582785.000000
U_phi_000369.tif,65536,23.941269,1569015.000000
U_phi_000370.tif,65536,24.310913,1593240.000000
U_phi_000371.tif,65536,23.952942,1569780.000000
U_phi_000372.tif,65536,24.349823,1595790.000000
U_phi_000373.tif,65536,23.836212,1562130.000000
U_phi_000374.tif,65536,23.847885,1562895.000000
U_phi_000375.tif,65536,23.910141,1566975.000000
U_phi_000376.tif,65536,23.750610,1556520.000000
U_phi_000377.tif,65536,23.812866,1560600.000000
U_phi_000378.tif,65536,24.221420,1587375.000000
U_phi_000379.tif,65536,23.824539,1561365.000000
U_phi_000380.tif,65536,24.482117,1604460.000000
U_phi_000381.tif,65536,24.143600,1582275.000000
U_phi_000382.tif,65536,24.322586,1594005.000000
U_phi_000383.tif,65536,23.711700,1553970.000000
U_phi_000384.tif,65536,23.851776,1563150.000000
U_phi_000385.tif,65536,24.365387,1596810.000000
U_phi_000386.tif,65536,23.528824,1541985.000000
U_phi_000387.tif,65536,24.217529,1587120.000000
